--- Epsilon = 10^-3 ---
x: 0.0, y: 0.0
x: 0.9810084243719888, y: 0.7091943421947451
x: 0.7608895441819543, y: 0.8231267761170722
x: 0.9711398348156124, y: 0.7132485311648449
x: 0.7754275359131354, y: 0.8166873525852212
x: 0.9661745980556662, y: 0.7197575824754385
x: 0.7864076959440711, y: 0.8159386796290973
x: 0.9646394148694107, y: 0.7270629527040444
x: 0.7943599053229193, y: 0.8186227643110365
x: 0.9655056406463496, y: 0.7341959670041647
x: 0.7996570145342294, y: 0.8232982958062363
x: 0.9680318011079817, y: 0.7405671660956498
x: 0.8025736119425911, y: 0.8290004469329604
x: 0.9716493257751901, y: 0.745806226977092
x: 0.8033455191133609, y: 0.8350395103631091
x: 0.975880775958273, y: 0.7496855410855003
x: 0.8022294073440364, y: 0.8408815275952306
x: 0.9802868457598646, y: 0.7520922500807954
x: 0.799557898559046, y: 0.8460837725308497
x: 0.9844446656628745, y: 0.7530278498086619
x: 0.7957769173082692, y: 0.8502744022831906
x: 0.9879619657870057, y: 0.7526183272100608
x: 0.7914442507746103, y: 0.8531710605942915
x: 0.9905246607592858, y: 0.7511168842647502
x: 0.787171800235892, y: 0.854626882953131
x: 0.9919588065741781, y: 0.7488825350132077
x: 0.7835178816565995, y: 0.8546774175302789
x: 0.9922725358150642, y: 0.7463277015356827
x: 0.7808712448884801, y: 0.8535523892443979
x: 0.991647903125742, y: 0.7438457695765923
x: 0.7793839001328852, y: 0.8516296769652706
x: 0.9903810600331382, y: 0.7417439910347597
x: 0.7789828644952119, y: 0.8493437849016721
x: 0.9887996212336243, y: 0.7402055181256538
x: 0.7794426991988389, y: 0.847089145897389
x: 0.9871927245798857, y: 0.7392879448440355
x: 0.7804744010098967, y: 0.8451556336227637
x: 0.9857725419088721, y: 0.7389487292768124
x: 0.7817954992339631, y: 0.843708178073894
x: 0.9846658077414112, y: 0.7390813891207724
x: 0.7831700022464959, y: 0.8427998028371764
x: 0.9839240749534962, y: 0.7395497551488961
x: 0.7844234217177227, y: 0.8424003287047782
x: 0.9835415405485938, y: 0.7402142278303361
x: 0.7854428267530079, y: 0.8424271081997872
x: 0.98347345047098, y: 0.7409491048538949
x: 0.786169919753528, y: 0.8427710201712132
x: 0.9836520437040822, y: 0.7416524753205652
x: 0.7865916665970641, y: 0.8433159658137492
x: 0.9839993769483358, y: 0.742250683679551
x: 0.7867303847312811, y: 0.843952524249362
x: 0.9844373525568039, y: 0.7426990025539004
x: 0.7866338072740247, y: 0.8445870569037071
x: 0.9848954089588123, y: 0.742979617332939
x: 0.7863652150211983, y: 0.8451473244977756
x: 0.9853161109069407, y: 0.7430976416016972
x: 0.7859938577136809, y: 0.8455852301666645
x: 0.9856586287829651, y: 0.7430757315553076
x: 0.7855862073869986, y: 0.8458769719778487
x: 0.9859000098144902, y: 0.7429478947443331
x: 0.7851988123646626, y: 0.8460208153178754
x: 0.9860342727666214, y: 0.7427531771473368
x: 0.7848734776675305, y: 0.8460328616126995
x: 0.9860696358857419, y: 0.7425299430626568
x: 0.7846351675032158, y: 0.8459414657515828
x: 0.9860244780778988, y: 0.7423113619006365
x: 0.784492533803527, y: 0.8457811711612941
x: 0.985922801128826, y: 0.7421224851557797
x: 0.7844405147690471, y: 0.8455870632392334
x: 0.9857899410303157, y: 0.741978999326599
x: 0.7844641754281416, y: 0.8453902631560661
x: 0.9856490929768204, y: 0.7418874638744061
x: 0.7845429305615563, y: 0.845214965649618
x: 0.9855189498499202, y: 0.7418466555596537
x: 0.7846544494785197, y: 0.8450770807887764
x: 0.9854124979515114, y: 0.7418495667227393
x: 0.7847777928184864, y: 0.844984267701061
x: 0.9853368255961421, y: 0.7418856300810763
x: 0.7848955815339177, y: 0.8449369934887287
x: 0.9852936979898433, y: 0.7419428296789721
x: 0.7849951930161054, y: 0.8449302084077442
x: 0.9852806233859064, y: 0.7420094685005579
x: 0.7850691037426071, y: 0.8449552657441626
x: 0.985292155918785, y: 0.742075470102342
x: 0.78511456143794, y: 0.8450017931880728
x: 0.9853212258608761, y: 0.7421331798153004
x: 0.7851327907494753, y: 0.84505931205779
x: 0.9853603416496591, y: 0.7421776962313162
x: 0.7851279312195844, y: 0.8451184842303892
x: 0.9854025608640712, y: 0.7422068070982333
x: 0.7851058856013909, y: 0.8451719370348718
x: 0.9854421755051013, y: 0.7422206285918704
x: 0.785073226064566, y: 0.8452146722944155
x: 0.9854750989123642, y: 0.7422210563894928
x: 0.785036268732946, y: 0.8452441077735571
x: 0.9854989762993068, y: 0.7422111337272259
x: 0.7850003861104227, y: 0.8452598280791144
x: 0.9855130668969581, y: 0.7421944282306023
x: 0.784969585871963, y: 0.845263137787909
x: 0.9855179618440557, y: 0.7421744886181537
x: 0.7849463474035134, y: 0.8452565126427515
x: 0.9855152077939052, y: 0.7421544276894729
x: 0.7849316782797727, y: 0.8452430363860659
x: 0.9855069025166519, y: 0.7421366528175362
x: 0.7849253341495891, y: 0.8452258937582237
x: 0.9854953176054715, y: 0.7421227426524664
x: 0.7849261379383247, y: 0.8452079679188733
x: 0.9854825876464096, y: 0.742113451263833
x: 0.7849323366592862, y: 0.8451915669445073
x: 0.9854704879762688, y: 0.7421088097295261
x: 0.7849419439123043, y: 0.8451782825537073
x: 0.9854603071082202, y: 0.7421082902953179
x: 0.7849530302127944, y: 0.8451689672610451
x: 0.9854528069222729, y: 0.7421109988317005
x: 0.7849639386877177, y: 0.8451638049593714
x: 0.9854482547443383, y: 0.7421158659957223
x: 0.7849734180378226, y: 0.8451624445480252
x: 0.9854465066012704, y: 0.7421218146631184
x: 0.7849806764619718, y: 0.8451641658823879
x: 0.9854471197802405, y: 0.7421278893237555
x: 0.7849853687022056, y: 0.8451680507754826
x: 0.9854494745382041, y: 0.7421333410109697
