--- Epsilon = 10^-2 ---
x: -0.75, y: 1.75
x: 0.6939629320031877, y: 0.7611879042913399
x: 0.9492047015147149, y: 0.6213862276429132
x: 0.6939629489827305, y: 0.7611878965102447
x: 0.949204698091939, y: 0.621386235535558
x: 0.6939629608610344, y: 0.7611878972076729
x: 0.9492046999589733, y: 0.6213862441273659
x: 0.6939629666236609, y: 0.7611879032757495
x: 0.9492047048409709, y: 0.6213862511604483
x: 0.6939629670428117, y: 0.7611879114263269
x: 0.9492047105459213, y: 0.6213862555266085
x: 0.6939629638758311, y: 0.7611879190245545
x: 0.9492047154500678, y: 0.6213862571279665
x: 0.6939629591107955, y: 0.7611879244802876
x: 0.949204718681358, y: 0.6213862565490823
x: 0.693962954420131, y: 0.7611879272580101
x: 0.9492047200628363, y: 0.6213862546827974
x: 0.6939629508782004, y: 0.7611879276361798
x: 0.9492047199128868, y: 0.6213862524138901
x: 0.6939629489167138, y: 0.7611879263593956
x: 0.9492047187984449, y: 0.6213862504143229
x: 0.6939629484470062, y: 0.7611879243017499
x: 0.9492047173158253, y: 0.6213862490595317
x: 0.6939629490610983, y: 0.7611879222170563
x: 0.9492047159406476, y: 0.6213862484433579
x: 0.6939629502385593, y: 0.7611879206036386
x: 0.9492047149580863, y: 0.6213862484537523
x: 0.6939629515076552, y: 0.761187919676186
x: 0.949204714462233, y: 0.6213862488707244
x: 0.6939629525389691, y: 0.7611879194140069
x: 0.9492047144003658, y: 0.6213862494553123
x: 0.6939629531731424, y: 0.7611879196475839
x: 0.9492047146363021, y: 0.6213862500121863
x: 0.6939629533993642, y: 0.7611879201499737
x: 0.949204715011266, y: 0.6213862504204014
x: 0.6939629533063136, y: 0.7611879207099841
x: 0.949204715389061, y: 0.6213862506358263
x: 0.6939629530266207, y: 0.7611879211763055
x: 0.949204715680106, y: 0.6213862506748784
x: 0.6939629526906533, y: 0.7611879214720967
x: 0.949204715846237, y: 0.6213862505896133
x: 0.693962952396805, y: 0.7611879215871435
x: 0.9492047158918672, y: 0.6213862504432581
x: 0.6939629521994074, y: 0.7611879215572924
x: 0.9492047158481799, y: 0.6213862502913102
x: 0.6939629521112279, y: 0.7611879214398586
x: 0.9492047157563922, y: 0.6213862501714061
x: 0.6939629521149888, y: 0.761187921292754
x: 0.9492047156547652, y: 0.6213862501004629
x: 0.6939629521779662, y: 0.7611879211608318
x: 0.9492047155705547, y: 0.6213862500782307
x: 0.6939629522647579, y: 0.7611879210697935
x: 0.9492047155174861, y: 0.6213862500929411
x: 0.6939629523467062, y: 0.7611879210267724
x: 0.9492047154972106, y: 0.621386250128274
x: 0.6939629524062142, y: 0.761187921025218
x: 0.9492047155030393, y: 0.6213862501687694
x: 0.6939629524371755, y: 0.7611879210509752
x: 0.949204715524536, y: 0.6213862502031863
x: 0.693962952442352, y: 0.7611879210885979
x: 0.949204715551223, y: 0.6213862502255711
x: 0.6939629524293207, y: 0.7611879211250965
x: 0.9492047155750234, y: 0.621386250234786
x: 0.6939629524076436, y: 0.7611879211523108
x: 0.9492047155913992, y: 0.6213862502333288
x: 0.6939629523852587, y: 0.7611879211671184
x: 0.9492047155990458, y: 0.6213862502251826
x: 0.6939629523676756, y: 0.7611879211703103
x: 0.9492047155991985, y: 0.6213862502146077
x: 0.6939629523574893, y: 0.7611879211651755
x: 0.94920471559448, y: 0.6213862502049488
x: 0.6939629523543807, y: 0.7611879211558497
x: 0.9492047155876522, y: 0.6213862501981209
x: 0.693962952356615, y: 0.7611879211459548
x: 0.9492047155810325, y: 0.6213862501947486
x: 0.6939629523619024, y: 0.7611879211379889
x: 0.9492047155761336, y: 0.6213862501944155
x: 0.6939629523678837, y: 0.7611879211331734
x: 0.9492047155735385, y: 0.6213862501962057
x: 0.6939629523728659, y: 0.7611879211316052
x: 0.9492047155729695, y: 0.6213862501988564
x: 0.6939629523761272, y: 0.7611879211323962
x: 0.9492047155738715, y: 0.6213862502015348
x: 0.6939629523775288, y: 0.7611879211345889
x: 0.949204715575523, y: 0.6213862502036165
x: 0.69396295237739, y: 0.7611879211371979
x: 0.9492047155773826, y: 0.6213862502047822
x: 0.6939629523760716, y: 0.7611879211395433
x: 0.9492047155788398, y: 0.6213862502050181
x: 0.6939629523744757, y: 0.7611879211410421
x: 0.9492047155797141, y: 0.6213862502046851
x: 0.6939629523730324, y: 0.7611879211417082
x: 0.9492047155799639, y: 0.6213862502040189
x: 0.6939629523720748, y: 0.761187921141611
x: 0.9492047155798112, y: 0.6213862502033112
x: 0.6939629523715752, y: 0.7611879211411253
x: 0.9492047155794504, y: 0.6213862502027144
x: 0.6939629523715058, y: 0.7611879211404731
x: 0.9492047155789369, y: 0.6213862502023397
x: 0.693962952371825, y: 0.7611879211397931
x: 0.9492047155785622, y: 0.6213862502022148
x: 0.6939629523721581, y: 0.7611879211393906
x: 0.9492047155782847, y: 0.6213862502022565
x: 0.6939629523725467, y: 0.7611879211391408
x: 0.9492047155781737, y: 0.6213862502023952
x: 0.693962952372852, y: 0.761187921139113
x: 0.9492047155782014, y: 0.6213862502025895
x: 0.6939629523729491, y: 0.7611879211392241
x: 0.9492047155782986, y: 0.6213862502027006
x: 0.693962952372963, y: 0.7611879211393767
x: 0.9492047155783679, y: 0.6213862502028255
x: 0.6939629523729214, y: 0.7611879211395016
x: 0.9492047155784651, y: 0.6213862502028393
x: 0.693962952372852, y: 0.7611879211395849
x: 0.9492047155785067, y: 0.6213862502028393
x: 0.6939629523728242, y: 0.7611879211396404
